camID,OpenWater1500,DevOpenSpace1500,DevLowInt1500,DevMedInt1500,DevHighInt1500,Barren1500,DecForest1500,ConForest1500,mixedForest1500,Shrub1500,GrassHerb1500,Pasture1500,Crops1500,WoodyWetland1500,EmergWetland1500,OpenWater1000,DevOpenSpace1000,DevLowInt1000,DevMedInt1000,DevHighInt1000,Barren1000,DecForest1000,ConForest1000,mixedForest1000,Shrub1000,GrassHerb1000,Pasture1000,Crops1000,WoodyWetland1000,EmergWetland1000,OpenWater500,DevOpenSpace500,DevLowInt500,DevMedInt500,DevHighInt500,Barren500,DecForest500,ConForest500,mixedForest500,Shrub500,GrassHerb500,Pasture500,Crops500,WoodyWetland500,EmergWetland500,SHDI_500,SHDI_1000,SHDI_1500,AllRds1500,AllRds1000,AllRds500,MainRds1500,MainRds1000,MainRds500,distmainrds,DistanceStreams
AEPC1,148,696,44,0,0,94,5086,514,0,50,1196,0,0,20,4,27,407,16,0,0,0,2120,253,0,33,611,0,0,9,4,0,132,1,0,0,0,614,58,0,5,57,0,0,6,0,0.807743788,1.041471362,1.164756536,25649.14552,16074.3565,2948.365027,25649.14552,16074.3565,2948.365027,440.1699829,0
AEPC3,107,389,116,17,2,168,5241,749,0,162,818,72,0,0,6,42,192,77,8,0,53,2220,389,0,109,316,72,0,0,6,0,80,40,4,0,15,479,117,0,26,107,5,0,0,0,1.444043398,1.511881828,1.465849876,21700.44458,13473.60318,6441.806356,21700.44458,13473.60318,6441.806356,417.5819092,360.5551147
AEPC4,41,483,14,0,0,0,6479,219,0,64,29,476,0,21,9,9,129,4,0,0,0,2854,59,0,29,27,348,0,21,9,0,21,0,0,0,0,650,14,0,7,0,178,0,0,0,0.659084439,0.721606255,0.721490085,26130.48892,9503.680054,2155.887018,9096.620275,651.8336212,0,3204.48584,509.901947
AEPC5,0,397,33,1,1,4,5930,272,0,44,26,682,459,0,0,0,162,7,1,1,4,2908,86,0,37,7,99,172,0,0,0,60,0,0,0,0,785,22,0,6,0,0,0,0,0,0.401466072,0.545065522,0.706644654,23187.81571,7965.098999,3173.323372,1693.254964,0,0,4700.759766,100
AEPC6,56,358,27,10,3,30,6080,277,0,131,261,417,192,5,0,1,184,9,1,1,0,2933,200,0,8,4,148,0,0,0,0,79,8,1,1,0,647,102,0,0,0,32,0,0,0,0.707278013,0.865043104,0.681069314,15527.15331,7399.747986,3315.770471,0,0,0,6163.95166,360.5551147
AEPC7,94,297,32,16,3,28,6620,206,0,101,66,340,4,26,13,0,147,3,0,0,0,3095,25,0,22,8,184,0,3,0,0,21,0,0,0,0,802,0,0,16,0,34,0,0,0,0.226957649,0.433669865,0.489359707,14163.07661,9760.026746,2661.610784,0,0,0,5023.533203,984.8858032
AEPC8,69,381,74,7,1,38,5236,760,0,65,140,633,441,5,0,29,172,29,1,0,0,2390,408,0,54,11,291,99,3,0,0,69,5,1,0,0,644,59,0,3,0,92,0,0,0,0.283489555,0.891446292,1.098001957,21025.38547,8177.028453,2883.208718,15674.97542,7409.057199,2883.208718,1082.675049,632.4555054
AEPC9,112,480,62,4,0,0,5697,459,0,55,103,352,502,5,0,16,252,16,0,0,0,2516,180,0,0,64,231,221,5,0,0,92,8,0,0,0,599,10,0,0,51,37,77,0,0,1.388198376,1.080661416,1.134082437,20744.02228,11831.46973,4965.619955,11862.73653,6680.35655,3243.72295,440.1699829,100
AEPC10,246,613,50,19,0,133,5925,219,0,33,565,0,0,36,9,156,270,23,13,0,55,2870,30,0,21,43,0,0,6,0,32,84,13,9,0,25,687,12,0,0,10,0,0,0,0,0.704730988,0.871293724,0.818612039,13721.74177,5562.999027,1456.54308,2672.843264,0,0,4447.677734,538.5164795
AEPC11,210,562,39,8,0,86,6408,346,0,12,156,0,0,15,7,56,316,18,6,0,71,2767,203,0,0,33,0,0,5,7,15,104,4,4,0,16,717,10,0,0,3,0,0,0,0,0.460750461,0.846020222,0.819607556,13845.53358,8587.455009,4991.541942,560.315069,0,0,4861.836426,700
