camID,OpenWater1500,DevOpenSpace1500,DevLowInt1500,DevMedInt1500,DevHighInt1500,Barren1500,DecForest1500,ConForest1500,mixedForest1500,Shrub1500,GrassHerb1500,Pasture1500,Crops1500,WoodyWetland1500,EmergWetland1500,OpenWater1000,DevOpenSpace1000,DevLowInt1000,DevMedInt1000,DevHighInt1000,Barren1000,DecForest1000,ConForest1000,mixedForest1000,Shrub1000,GrassHerb1000,Pasture1000,Crops1000,WoodyWetland1000,EmergWetland1000,OpenWater500,DevOpenSpace500,DevLowInt500,DevMedInt500,DevHighInt500,Barren500,DecForest500,ConForest500,mixedForest500,Shrub500,GrassHerb500,Pasture500,Crops500,WoodyWetland500,EmergWetland500,SHDI_500,SHDI_1000,SHDI_1500,AllRds1500,AllRds1000,AllRds500,MainRds1500,MainRds1000,MainRds500,distmainrds,DistanceStreams
ZAL5,30,64,1,0,0,0,7634,11,0,77,17,15,0,0,0,0,0,0,0,0,0,3438,0,0,34,12,0,0,0,0,0,0,0,0,0,0,848,0,0,10,12,0,0,0,0,0.041313574,0.137062475,0.097373754,2713.78949,0,0,2713.78949,0,0,4429.125,200
ZAL4,30,64,1,0,0,0,7634,11,0,77,17,15,0,0,0,0,0,0,0,0,0,3438,0,0,34,12,0,0,0,0,0,0,0,0,0,0,848,0,0,10,12,0,0,0,0,0.041313574,0.137062475,0.097373754,2713.78949,0,0,2713.78949,0,0,4429.125,200
ZAL8,30,64,1,0,0,0,7634,11,0,77,17,15,0,0,0,0,0,0,0,0,0,3438,0,0,34,12,0,0,0,0,0,0,0,0,0,0,848,0,0,10,12,0,0,0,0,0.041313574,0.137062475,0.097373754,2713.78949,0,0,2713.78949,0,0,4429.125,200
ZAL6,61,463,7,0,0,0,7175,112,0,5,14,0,0,5,0,7,300,5,0,0,0,3101,72,0,0,0,0,0,5,0,0,86,0,0,0,0,783,5,0,0,0,0,0,0,0,0.269200653,0.340981156,0.407064945,32507.47054,21534.9742,6137.479284,10475.78405,7061.298515,2045.080188,1279.525024,1204.159424
ZAL7,0,546,8,0,0,0,6806,279,0,0,0,204,0,0,0,0,155,4,0,0,0,3096,234,0,0,0,0,0,0,0,0,41,0,0,0,0,806,21,0,0,0,0,0,0,0,0.305294305,0.324391752,0.421540588,37551.04299,15597.07836,4262.940012,9691.845598,0,0,3271.798584,100
ZAL9,40,251,0,0,0,22,7323,91,0,57,22,22,0,11,7,36,137,0,0,0,22,3196,6,0,35,19,18,0,11,7,31,57,0,0,0,0,759,0,0,0,9,0,0,11,7,0.477410048,0.626590788,0.443854064,22638.22688,12778.69578,5022.396003,0,0,0,5787.021973,316.2277527
ZAL48,54,289,16,1,0,0,7120,296,0,41,25,2,0,0,0,2,158,8,0,0,0,3105,190,0,20,3,0,0,0,0,0,43,5,0,0,0,770,52,0,0,0,0,0,0,0,0.469057083,0.465727836,0.468030274,35872.47512,16624.34478,4760.458754,0,0,0,8948.55957,538.5164795
ZAL40,35,266,0,0,0,0,7184,108,0,21,86,144,0,0,0,28,196,0,0,0,0,3090,9,0,0,66,103,0,0,0,4,84,0,0,0,0,764,0,0,0,17,5,0,0,0,0.585000873,0.527938485,0.572810888,19975.36382,12917.1262,6954.765101,0,0,0,6100.762207,412.3105774
ZAL10,62,205,0,0,0,0,7242,224,0,114,5,0,0,0,0,55,115,0,0,0,0,3112,130,0,67,2,0,0,0,0,0,57,0,0,0,0,815,0,0,1,0,0,0,0,0,0.355180413,0.380608708,0.548711598,17265.60036,9606.444232,3837.438062,0,0,0,7889.36377,608.2762451
WNFA15,0,590,27,0,0,0,5848,323,0,76,22,924,29,6,0,0,196,5,0,0,0,2737,236,0,17,7,283,0,6,0,0,58,0,0,0,0,756,13,0,0,0,36,0,6,0,0.489878178,0.600845993,0.673837543,44073.57632,15948.32013,4948.455928,12603.00706,1605.707826,0,2914.776123,100
WNFA14,0,400,5,0,0,0,6653,608,0,22,46,112,0,0,0,0,90,0,0,0,0,3036,344,0,16,0,0,0,0,0,0,36,0,0,0,0,739,91,0,4,0,0,0,0,0,0.611419857,0.591986775,0.511306047,21879.56837,6178.957753,3520.147632,0,0,0,6475.88623,721.1102295
WNFA53,61,504,10,5,0,41,6528,525,0,22,98,51,0,0,0,0,233,3,0,0,12,3087,116,0,22,19,0,0,0,0,0,74,2,0,0,0,765,10,0,6,16,0,0,0,0,0.61580044,0.474083483,0.489022493,25384.40463,12311.00726,5092.832715,0,0,0,6516.894531,412.3105774
WNFA17,0,441,32,1,0,14,6110,751,0,59,119,324,0,0,0,0,184,16,0,0,14,2599,446,0,6,87,138,0,0,0,0,77,2,0,0,0,542,110,0,0,46,92,0,0,0,1.352486134,1.081203818,0.955098867,24961.61321,7885.476467,3764.211455,12819.82302,7757.601834,3636.336823,139.1939697,500
