Site,Camera,SiteCam,Grid Cell,Lat,Long,C1,C2,C3,C4,C5,C6,C7,C8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,B1,B2,B3,B4,B5,B6,B7,B8,Grid Cell,Site_ID,forest,development,open_and_farm,water_wetlands,CR_km,MR_km,SR_km,TR_km,Total_length_km,Days_start_S1,Days_start_S2,Days_start_S3,Days_start_S4,Days_start_S5,Days_start_S6,Days_start_S7,Days_start_S8,Length1,Length2,Length3,Length4,Length5,Length6,Length7,Length8
ZAL,5,ZAL5,05NE,39.34936102,-82.27383398,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,05NE,05NE,0.9724,0,0.0276,0,0,0,0,0,0,160,170,179,191,201,215,226,240,10,9,12,10,14,11,14,14
ZAL,4,ZAL4,05NW,39.34936102,-82.27383398,1,1,2,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,05NW,05NW,0.9943,0,0.0057,0,0,0,0,0,0,160,170,179,191,201,215,226,240,10,9,12,10,14,11,14,14
ZAL,8,ZAL8,05NW,39.34936102,-82.27383398,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,05NW,05NW,0.9989,0,0.0011,0,0,0,0,0,0,160,170,179,191,201,215,226,240,10,9,12,10,14,11,14,14
ZAL,6,ZAL6,06SW,39.33887601,-82.33427002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,06SW,06SW,0.9118,0.0882,0,0,0,0,0.5742,1.254,1.8282,160,170,179,190,200,214,226,239,10,9,11,10,14,12,13,13
ZAL,7,ZAL7,07NW,39.37256204,-82.31900096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07NW,07NW,0.9599,0.0401,0,0,0,0,0,1.1492,1.1492,160,170,179,191,201,215,226,240,10,9,12,10,14,11,14,14
ZAL,9,ZAL9,09NW,39.31543702,-82.331778,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,09NW,09NW,0.878,0.0656,0.0127,0.0437,0,0,0,1.9883,1.9883,160,170,179,190,200,214,226,239,10,9,11,10,14,12,13,13
ZAL,48,ZAL48,09SW,39.29973202,-82.33369997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,09SW,09SW,0.945,0.055,0,0,0.6736,0,0,0.7838,1.4574,160,170,179,190,200,214,226,239,10,9,11,10,14,12,13,13
ZAL,40,ZAL40,10NE,39.32031403,-82.28605304,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,10NE,10NE,0.8706,0.0859,0.0412,0.0023,0,0,0,1.3568,1.3568,160,170,179,190,200,214,226,239,10,9,11,10,14,12,13,13
ZAL,10,ZAL10,10SW,39.30478496,-82.301132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10SW,10SW,0.9356,0.0644,0,0,0,0,0,1.2838,1.2838,160,170,179,190,200,214,226,239,10,9,11,10,14,12,13,13
WNFA,15,WNFA15,15SE,39.58990697,-82.00065703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15SE,15SE,0.8856,0.0686,0.0389,0.0069,1.0156,0,0,0.5357,1.5513,167,175,186,199,213,225,238,251,8,11,13,14,12,13,13,10
WNFA,14,WNFA14,16NE,39.61511596,-82.04055103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16NE,16NE,1,0,0,0,0,0,0,0,0,167,175,186,199,213,225,238,251,8,11,13,14,12,13,13,10
WNFA,53,WNFA53,16SW,39.59063896,-82.05496204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16SW,16SW,0.8913,0.0881,0.0206,0,0.9584,0,0,0.6572,1.6155,167,175,186,199,213,225,238,251,8,11,13,14,12,13,13,0
WNFA,17,WNFA17,17NE ,39.62182702,-82.01944197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17NE ,17NE,0.8142,0.0677,0.1181,0,0,0,0.9407,0.039,0.9797,167,175,186,199,213,225,238,251,8,11,13,14,12,13,13,10
WC,19,WC19,19SW,39.55929902,-81.96533896,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,19SW,14SE,0.9234,0.0629,0.0137,0,1.6842,0,0,0,1.6842,167,175,186,199,213,225,238,251,8,11,13,14,12,13,13,0
WC,20,WC20,20SE,39.578076,-81.93710703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20SE,20SE,0.9367,0.0633,0,0,0,0,0.7591,0.2236,0.9826,163,172,181,192,205,217,229,242,9,9,11,13,12,12,13,13
WNFA,22,WNFA22,22SE,39.48843104,-82.13119201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22SE,22SE,0.9414,0.0436,0.0149,0,0.9018,0,0,0,0.9018,163,172,181,192,209,220,232,246,9,9,11,17,11,12,14,11
WNFA,23,WNFA23,23SE,39.48881702,-82.16661603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23SE,23SE,0.8816,0.1184,0,0,0.6614,0,0.9173,0.1369,1.7155,163,172,181,192,205,217,229,242,9,9,11,13,12,12,13,13
WNFA,24,WNFA24,25NW,39.51691702,-82.15476301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25NW,25NW,0.9137,0.0863,0,0,0,0,1.0054,0,1.0054,163,172,181,192,205,217,229,242,9,9,11,13,12,12,13,13
WNFA,25,WNFA25,25SE,39.49383401,-82.15189196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25SE,25SE,0.9507,0.0321,0.0172,0,0,0,0,0.9598,0.9598,166,174,182,195,209,220,232,246,8,8,13,14,11,12,14,11
WNFA,26,WNFA26,26NE,39.50573003,-82.18795401,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26NE,26NE,0.9782,0.0034,0.0184,0,0,0,0,0.0882,0.0882,163,173,181,194,206,218,230,245,10,8,13,12,12,12,15,11
WNFA,27,WNFA27,26SE,39.50256402,-82.18190798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26SE,26SE,0.8707,0.1224,0,0.0069,0.9809,0,0,0.7397,1.7206,163,173,181,194,206,218,230,245,10,8,13,12,12,12,15,11
