SiteCam,C1,C2,C3,C4,C5,C6,C7,C8,B1,B2,B3,B4,B5,B6,B7,B8
ZAL5,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0
ZAL4,1,1,2,0,1,3,1,0,0,0,0,0,0,0,0,0
ZAL8,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0
ZAL6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZAL7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAL9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ZAL48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZAL40,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
ZAL10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WC19,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
WC20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WNFA22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
WNFA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WNFA27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WNFA29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WNFA31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
WNFA32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
WNFA33,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
WNFA63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WNFA34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALES56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALES36,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
ALES62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALES58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALES37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WNFM59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WNFM38,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
WNFM39,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
WNFM41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
WNFM61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WNFM42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNFM44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WNFM43,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
AEP47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AEP45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0
AEP60,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
AEP46,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
AEP64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AEP49,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
AEP50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
AEP51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AEP54,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0
AEP57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP65,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
