SiteCam,Lat,Long,forest,development,open_and_farm,water_wetlands,CR_km,SR_km,TR_km,Total_length_km
ZAL5,39.34936102,-82.27383398,0.9724,0,0.0276,0,0,0,0,0
ZAL4,39.34936102,-82.27383398,0.9943,0,0.0057,0,0,0,0,0
ZAL8,39.34936102,-82.27383398,0.9989,0,0.0011,0,0,0,0,0
ZAL6,39.33887601,-82.33427002,0.9118,0.0882,0,0,0,0.5742,1.254,1.8282
ZAL7,39.37256204,-82.31900096,0.9599,0.0401,0,0,0,0,1.1492,1.1492
ZAL9,39.31543702,-82.331778,0.878,0.0656,0.0127,0.0437,0,0,1.9883,1.9883
ZAL48,39.29973202,-82.33369997,0.945,0.055,0,0,0.6736,0,0.7838,1.4574
ZAL40,39.32031403,-82.28605304,0.8706,0.0859,0.0412,0.0023,0,0,1.3568,1.3568
ZAL10,39.30478496,-82.301132,0.9356,0.0644,0,0,0,0,1.2838,1.2838
WNFA15,39.58990697,-82.00065703,0.8856,0.0686,0.0389,0.0069,1.0156,0,0.5357,1.5513
WNFA14,39.61511596,-82.04055103,1,0,0,0,0,0,0,0
WNFA53,39.59063896,-82.05496204,0.8913,0.0881,0.0206,0,0.9584,0,0.6572,1.6155
WNFA17,39.62182702,-82.01944197,0.8142,0.0677,0.1181,0,0,0.9407,0.039,0.9797
WC19,39.55929902,-81.96533896,0.9234,0.0629,0.0137,0,1.6842,0,0,1.6842
WC20,39.578076,-81.93710703,0.9367,0.0633,0,0,0,0.7591,0.2236,0.9826
WNFA22,39.48843104,-82.13119201,0.9414,0.0436,0.0149,0,0.9018,0,0,0.9018
WNFA23,39.48881702,-82.16661603,0.8816,0.1184,0,0,0.6614,0.9173,0.1369,1.7155
WNFA24,39.51691702,-82.15476301,0.9137,0.0863,0,0,0,1.0054,0,1.0054
WNFA25,39.49383401,-82.15189196,0.9507,0.0321,0.0172,0,0,0,0.9598,0.9598
WNFA26,39.50573003,-82.18795401,0.9782,0.0034,0.0184,0,0,0,0.0882,0.0882
WNFA27,39.50256402,-82.18190798,0.8707,0.1224,0,0.0069,0.9809,0,0.7397,1.7206
WNFA28,39.53226001,-82.17771602,0.9161,0.0839,0,0,0,1.0007,0,1.0007
WNFA29,39.52846502,-82.20672403,0.8622,0.0299,0.1079,0,0.4227,0,0,0.4227
WNFA31,39.51695298,-82.22588204,0.9269,0.0457,0.0274,0,0,0,0.7664,0.7664
WNFA30,39.52338299,-82.24671601,0.9391,0.0609,0,0,0,0,1.531,1.531
WNFA32,39.54100401,-82.223761,0.9324,0.0389,0.0286,0,0,0,1.0147,1.0147
WNFA33,39.55367904,-82.25806796,0.8834,0.0823,0,0.0343,0,0.7834,0.1508,0.9342
WNFA63,39.53875397,-82.25546697,0.8398,0.087,0.0732,0,0,0,1.6,1.6
WNFA34,39.57362697,-82.20323003,0.9127,0.07,0.0172,0,0.1778,0,1.5619,1.7397
WNFA35,39.55532298,-82.21027996,0.8852,0.0953,0.0195,0,0,0.9675,0.4973,1.4649
ALES56,39.64255798,-81.39978798,0.953,0.047,0,0,0,0,1.1083,1.1083
ALES36,39.62393397,-81.37622402,0.9061,0.0607,0.0332,0,0,0,1.0823,1.0823
ALES62,39.62099402,-81.38905898,0.9577,0.0423,0,0,0,0,0.828,0.828
ALES58,39.66041302,-81.40206601,0.9553,0,0.0447,0,0,0,1.192,1.192
ALES37,39.64255798,-81.39978798,0.9268,0.0732,0,0,0,0,1.6354,1.6354
WNFM59,39.50976298,-81.13833304,0.8971,0.088,0.0149,0,0,0,0.5233,0.5233
WNFM38,39.49581399,-81.146711,0.9977,0.0023,0,0,0,0,0.5532,0.5532
WNFM39,39.50403,-81.16747,0.9634,0.0366,0,0,0,0,0.9741,0.9741
WNFM41,39.52429502,-81.15122298,0.9396,0.0604,0,0,0,0,1.0949,1.0949
WNFM61,39.51114801,-81.15715301,0.953,0.047,0,0,0,0,1.0647,1.0647
WNFM42,39.54363,-81.1354,0.9201,0.0799,0,0,0,0,2.0447,2.0447
WNFM44,39.54669097,-81.18133899,0.866,0.0951,0.0389,0,0,0.536,1.2763,1.8123
WNFM43,39.53581704,-81.179012,0.8222,0.0459,0.1319,0,0,0,0.9775,0.9775
AEP47,39.69933196,-81.72947296,0.7411,0.1346,0.0598,0.0644,0.2818,1.0835,0,1.3653
AEP45,39.69573,-81.73804,0.6246,0.1366,0.2331,0.0057,0.8216,1.066,0.245,2.1326
AEP60,39.71500201,-81.76229498,0.7666,0.0412,0.1831,0.0092,0,0,0.1092,0.1092
AEP46,39.69826503,-81.76624303,0.9314,0.0229,0.0195,0.0263,0,0,0.346,0.346
AEP64,39.73221601,-81.70669204,0.6331,0.1486,0.208,0.0103,0,0.5543,0,0.5543
AEP49,39.71342202,-81.71554903,0.6926,0.1303,0.176,0.0011,0,0.9756,0,0.9756
AEP50,39.72016199,-81.75903702,0.7858,0.0527,0.1615,0,0,0,0.7964,0.7964
AEP51,39.71927703,-81.79319998,0.9485,0.0378,0.0057,0.008,0,0,0.9527,0.9527
AEP54,39.73563398,-81.73196096,0.7803,0.0618,0.0389,0.119,0,0.4096,0,0.4096
AEP57,39.77263204,-81.76060502,0.9163,0.0367,0.047,0,0.9701,0,0,0.9701
AEP65,39.75321502,-81.74560502,0.9163,0.0791,0,0.0046,0,1.0156,0,1.0156
