SiteCam,Length1,Length2,Length3,Length4,Length5,Length6,Length7,Length8
ZAL5,10,9,12,10,14,11,14,14
ZAL4,10,9,12,10,14,11,14,14
ZAL8,10,9,12,10,14,11,14,14
ZAL6,10,9,11,10,14,12,13,13
ZAL7,10,9,12,10,14,11,14,14
ZAL9,10,9,11,10,14,12,13,13
ZAL48,10,9,11,10,14,12,13,13
ZAL40,10,9,11,10,14,12,13,13
ZAL10,10,9,11,10,14,12,13,13
WNFA15,8,11,13,14,12,13,13,10
WNFA14,8,11,13,14,12,13,13,10
WNFA53,8,11,13,14,12,13,13,0
WNFA17,8,11,13,14,12,13,13,10
WC19,8,11,13,14,12,13,13,0
WC20,9,9,11,13,12,12,13,13
WNFA22,9,9,11,17,11,12,14,11
WNFA23,9,9,11,13,12,12,13,13
WNFA24,9,9,11,13,12,12,13,13
WNFA25,8,8,13,14,11,12,14,11
WNFA26,10,8,13,12,12,12,15,11
WNFA27,10,8,13,12,12,12,15,11
WNFA28,10,8,13,15,11,12,14,11
WNFA29,10,8,13,12,12,12,15,11
WNFA31,10,8,13,13,11,12,16,11
WNFA30,8,8,13,13,11,12,16,11
WNFA32,10,8,13,12,12,12,15,11
WNFA33,8,8,13,13,11,12,16,11
WNFA63,8,8,13,13,11,12,16,11
WNFA34,8,8,13,13,11,12,16,11
WNFA35,8,8,13,13,11,12,16,11
ALES56,8,8,11,13,12,11,14,12
ALES36,8,8,11,13,12,11,14,12
ALES62,8,8,11,13,12,11,14,12
ALES58,8,8,11,13,12,11,14,12
ALES37,8,8,11,13,12,11,14,12
WNFM59,8,9,12,14,12,13,14,9
WNFM38,9,9,12,14,12,13,14,9
WNFM39,9,9,12,14,12,13,14,9
WNFM41,9,10,11,14,11,14,13,9
WNFM61,9,9,12,14,12,13,14,9
WNFM42,9,10,11,14,11,14,13,9
WNFM44,9,10,11,14,11,14,13,9
WNFM43,9,10,11,14,11,14,13,9
AEP47,9,10,12,14,11,13,14,10
AEP45,10,10,12,14,11,11,16,10
AEP60,10,10,12,14,11,11,16,10
AEP46,10,10,12,14,11,11,16,10
AEP64,10,9,13,14,11,14,13,10
AEP49,9,9,13,14,11,14,13,10
AEP50,10,10,12,14,11,11,16,10
AEP51,10,10,12,14,11,11,16,10
AEP54,9,9,13,14,11,14,13,10
AEP57,9,9,13,14,11,12,15,10
AEP65,9,9,13,14,11,12,15,10
