camID,Developed1500,Forest1500,OpenHabitat1500,Developed1000,Forest1000,OpenHabitat1000,Developed500,Forest500,OpenHabitat500,SHDI_500,SHDI_1000,SHDI_1500,AllRds1500,AllRds1000,AllRds500,MainRds1500,MainRds1000,MainRds500,distmainrds,DistanceStreams,WTD SUM,SQ SUM,HARE SUM
AEPC1,740,5600,1246,423,2373,644,133,672,62,0.807743788,1.041471362,1.164756536,25649.14552,16074.3565,2948.365027,25649.14552,16074.3565,2948.365027,440.1699829,0,266,79,22
AEPC10,682,6144,598,306,2900,64,106,699,10,0.704730988,0.871293724,0.818612039,13721.74177,5562.999027,1456.54308,2672.843264,0,0,4447.677734,538.5164795,105,6,0
AEPC11,609,6754,168,340,2970,33,112,727,3,0.460750461,0.846020222,0.819607556,13845.53358,8587.455009,4991.541942,560.315069,0,0,4861.836426,700,175,143,0
AEPC12,675,5650,1163,271,2410,610,88,466,272,1.363756537,1.455348969,1.276866078,17444.23174,8693.150461,3352.264572,10597.70209,6779.278778,3352.264572,139.1939697,200,155,22,0
AEPC13,665,4699,1348,332,2295,560,112,548,209,1.237166047,1.074470639,1.08968389,26067.54002,16361.32294,6761.724951,12998.43952,7410.31881,3853.339391,295.2749939,300,311,269,81
AEPC14,629,5917,1102,244,2618,572,91,744,26,0.432485998,0.735012531,0.942263484,21477.86199,6982.849489,3389.627776,21477.86199,6982.849489,3389.627776,295.2749939,100,79,33,6
AEPC15,594,5980,981,341,2416,605,136,571,148,1.196005106,1.429754257,1.378818512,15051.58621,9355.378401,3579.284215,10914.95783,7160.443205,3250.344804,840.9435425,1216.55249,73,100,21
AEPC16,492,6976,104,157,3180,23,65,803,0,0.508190095,0.48930648,0.625276327,16226.84954,6599.225006,3091.603785,15846.70964,6599.225006,3091.603785,393.7000122,223.6067963,223,242,81
AEPC17,613,6775,112,373,2861,49,84,699,0,0.922008455,0.837038219,0.845645487,17794.63892,10066.59798,3157.93401,10431.52279,6920.478112,3157.93401,405.8166809,316.2277527,174,23,18
AEPC18,573,7014,0,320,3063,0,92,761,0,0.633108139,0.6082533,0.604277432,10195.52421,6683.508546,3109.236076,10195.52421,6683.508546,3109.236076,311.2471924,632.4555054,266,126,0
